rank,title,link,points,author,comments
1,"So, You've Hit an Age Gate. What Now?",https://www.eff.org/deeplinks/2026/01/so-youve-hit-age-gate-what-now,86 points,hn_acker,1 hour ago
2,Why some clothes shrink in the wash – and how to 'unshrink' them,https://www.swinburne.edu.au/news/2025/08/why-some-clothes-shrink-in-the-wash-and-how-to-unshrink-them/,241 points,OptionOfT,5 hours ago
3,Find a pub that needs you,https://www.ismypubfucked.com/,76 points,thinkingemote,2 hours ago
4,Ask HN: Could you share your personal website here?,item?id=46618714,48 points,susam,1 hour ago
5,Starlink roam 50GB is now 100GB with unlimited slow speed after that,https://starlink.com/support/article/58c9c8b7-474e-246f-7e3c-06db3221d34d,131 points,bahmboo,2 hours ago
6,Ford F-150 Lightning outsold the Cybertruck and was then canceled for poor sales,https://electrek.co/2026/01/13/ford-f150-lightning-outsold-tesla-cybertruck-canceled-not-selling-enough/,116 points,MBCook,1 hour ago
7,The Unbearable Frustration of Figuring Out APIs,https://blog.ar-ms.me/thoughts/translation-cli/,38 points,ezekg,2 hours ago
8,Edge of Emulation: Game Boy Sewing Machines (2020),https://shonumi.github.io/articles/art22.html,75 points,mosura,4 hours ago
9,There's a ridiculous amount of tech in a disposable vape,https://blog.jgc.org/2026/01/theres-ridiculous-amount-of-tech-in.html,673 points,abnercoimbre,16 hours ago
10,I built Vector. Now I'm answering the question your observability vendor won't,https://usetero.com/blog/the-question-your-observability-vendor-wont-answer,55 points,binarylogic,2 hours ago
11,Show HN: HyTags – HTML as a Programming Language,https://hytags.org,27 points,lassejansen,2 hours ago
12,Show HN: A 10KiB kernel for cloud apps,https://github.com/ReturnInfinity/BareMetal-Cloud,30 points,ianseyler,2 hours ago
13,Xoscript,https://xoscript.com/history.xo,30 points,gabordemooij,2 hours ago
14,"Virginia Faulkner: Writer, Editor and Ghostwriter?",https://lithub.com/virginia-faulkner-writer-editor-and-ghostwriter/,8 points,samclemens,1 hour ago
15,I’m leaving Redis for SolidQueue,https://www.simplethread.com/redis-solidqueue/,248 points,amalinovic,9 hours ago
16,Government drops plans for mandatory digital ID to work in UK,https://www.bbc.com/news/articles/c3385zrrx73o,100 points,FridayoLeary,3 hours ago
17,How have prices changed in a year? NPR checked 114 items at Walmart,https://www.npr.org/2026/01/14/nx-s1-5638908/walmart-prices-inflation-affordability-shrinkflation,79 points,srameshc,2 hours ago
18,A Brief Introduction to the Basics of Game Theory,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1968579,44 points,7777777phil,4 hours ago
19,Lago (Open-Source Billing) is hiring across teams and geos,item?id=46615235,0 points,NA,6 hours ago
20,I Hate GitHub Actions with Passion,https://xlii.space/eng/i-hate-github-actions-with-passion/,277 points,xlii,7 hours ago
21,GitHub should charge everyone $1 more per month to fund open source,https://blog.greg.technology/2025/11/27/github-should-charge-1-dollar-more-per-month.html,43 points,evakhoury,2 hours ago
22,1000 Blank White Cards,https://en.wikipedia.org/wiki/1000_Blank_White_Cards,330 points,eieio,15 hours ago
23,"System Programming in Linux: A Hands-On Introduction ""Demo"" Programs",https://github.com/stewartweiss/intro-linux-sys-prog,70 points,teleforce,8 hours ago
24,Show HN: Tiny FOSS Compass and Navigation App (<2MB),https://github.com/CompassMB/MBCompass,104 points,nativeforks,7 hours ago
25,4k tons of potatoes to be given away for free in Berlin,https://www.the-berliner.com/english-news-berlin/4000-tons-of-potatoes-to-be-given-away-for-free/,97 points,mrzool,1 hour ago
26,A 40-line fix eliminated a 400x performance gap,https://questdb.com/blog/jvm-current-thread-user-time/,345 points,bluestreak,19 hours ago
27,Every GitHub object has two IDs,https://www.greptile.com/blog/github-ids,308 points,dakshgupta,19 hours ago
28,FBI raids Washington Post reporter's home,https://www.theguardian.com/us-news/2026/jan/14/fbi-raid-washington-post-hannah-natanson,686 points,echelon_musk,3 hours ago
29,ASCII Clouds,https://caidan.dev/portfolio/ascii_clouds/,311 points,majkinetor,16 hours ago
30,"Never-before-seen Linux malware is ""more advanced than typical""",https://arstechnica.com/security/2026/01/never-before-seen-linux-malware-is-far-more-advanced-than-typical/,84 points,Brajeshwar,4 hours ago
